DMV ID,DMV Snapshot (Date),Registration Valid Date,ZIP Code,VIN Prefix,Registration Expiration Date,VIN Model Year,Make,Model,Model Year
2,DMV Direct (8/20/2019),4/19/2019,48326,5YJXCAE2,,K,Tesla,Model X,2019
2,DMV Direct (8/20/2019),4/19/2019,48127,1FADP5EU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),9/7/2018,48070,3FA6P0PU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),4/19/2019,48071,1G1RA6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),9/7/2018,49307,JN1AZ0CP,,B,Nissan,Leaf,2011
2,DMV Direct (8/20/2019),4/19/2019,48329,1G1RB6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/19/2019,49345,1FADP5FU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),4/19/2019,48854,1G1RB6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/19/2019,49307,5YJ3E1EA,,K,Tesla,Model 3,2019
2,DMV Direct (8/20/2019),4/19/2019,48073,5YJSA1E2,,F,Tesla,Model S,2015
2,DMV Direct (8/20/2019),4/19/2019,48381,1G1RB6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),4/19/2019,48390,1FADP5FU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),4/19/2019,48309,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),4/19/2019,46614,3FA6P0SU,,D,Ford,Fusion Energi,2013
2,DMV Direct (8/20/2019),9/7/2018,48331,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),4/19/2019,48317,1G1RA6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/19/2019,48451,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),4/19/2019,48237,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),4/19/2019,49037,1G1RA6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/19/2019,45410,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),4/19/2019,48371,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),9/7/2018,48348,5ASAG274,,5,GEM,NEV,2005
2,DMV Direct (8/20/2019),9/7/2018,49085,1N4AZ0CP,,D,Nissan,Leaf,2013
2,DMV Direct (8/20/2019),4/20/2019,49508,1G1RD6E4,,B,Chevrolet,Volt,2011
2,DMV Direct (8/20/2019),9/7/2018,48221,1G1RD6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/20/2019,48164,1G1RC6S5,,G,Chevrolet,Volt,2016
2,DMV Direct (8/20/2019),4/20/2019,48103,WP1AE2A2,,J,Porsche,Cayenne S E-Hybrid,2018
2,DMV Direct (8/20/2019),4/19/2019,49327,1G1RB6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/20/2019,48085,1N4AZ0CP,,E,Nissan,Leaf,2014
2,DMV Direct (8/20/2019),4/20/2019,48374,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),9/7/2018,49036,1G1RB6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/19/2019,49007,1G1RA6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),9/7/2018,48653,1G1RA6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),4/19/2019,49504,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),9/7/2018,49021,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/7/2018,48428,1FADP5FU,,H,Ford,C-Max Energi,2017
2,DMV Direct (8/20/2019),4/19/2019,48168,5YJSA1H2,,F,Tesla,Model S,2015
2,DMV Direct (8/20/2019),9/7/2018,48170,2C4RC1N7,,J,Chrysler,Pacifica,2018
2,DMV Direct (8/20/2019),9/7/2018,48168,3FA6P0SU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),9/7/2018,49617,5YJSA1E2,,H,Tesla,Model S,2017
2,DMV Direct (8/20/2019),4/19/2019,48324,5YJXCDE2,,J,Tesla,Model X,2018
2,DMV Direct (8/20/2019),9/7/2018,48334,1G1FX6S0,,H,Chevrolet,Bolt EV,2017
2,DMV Direct (8/20/2019),4/19/2019,49048,2C4RC1N7,,H,Chrysler,Pacifica,2017
2,DMV Direct (8/20/2019),4/19/2019,49053,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/7/2018,48134,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),4/19/2019,48073,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),9/8/2018,48073,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/8/2018,48103,1G1RB6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),9/8/2018,48108,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),9/8/2018,48168,1FADP3R4,,G,Ford,Focus EV,2016
2,DMV Direct (8/20/2019),4/18/2019,48047,1G1RD6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/18/2019,48144,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/8/2018,48386,1G1RA6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/19/2019,48858,1G1RA6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/19/2019,49506,1N4AZ0CP,,D,Nissan,Leaf,2013
2,DMV Direct (8/20/2019),9/8/2018,48430,5YJXCBE2,,G,Tesla,Model X,2016
2,DMV Direct (8/20/2019),4/19/2019,48085,5UXKT0C5,,G,BMW,X5,2016
2,DMV Direct (8/20/2019),9/8/2018,49017,1G1RB6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),4/19/2019,48808,5YJ3E1EA,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),9/8/2018,48197,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/18/2019,48462,3FA6P0SU,,K,Ford,Fusion Energi,2019
2,DMV Direct (8/20/2019),9/8/2018,48201,3FA6P0PU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),4/18/2019,48025,5YJSA1E4,,J,Tesla,Model S,2018
2,DMV Direct (8/20/2019),4/18/2019,48895,2C4RC1N7,,K,Chrysler,Pacifica,2019
2,DMV Direct (8/20/2019),4/18/2019,48168,5YJ3E1EA,,K,Tesla,Model 3,2019
2,DMV Direct (8/20/2019),4/18/2019,48069,1G1RD6S5,,G,Chevrolet,Volt,2016
2,DMV Direct (8/20/2019),9/8/2018,48316,YV4BR0PL,,J,Volvo,XC90 Plug In,2018
2,DMV Direct (8/20/2019),9/8/2018,48390,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),4/18/2019,49326,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/18/2019,49525,1G1RB6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),9/8/2018,48103,1G1RA6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),9/8/2018,48168,3FA6P0PU,,G,Ford,Fusion Energi,2016
2,DMV Direct (8/20/2019),9/8/2018,49085,1G1RB6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),9/8/2018,48375,3FA6P0PU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),9/8/2018,48430,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),9/7/2018,49346,1G1RB6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/19/2019,49506,1N4AZ0CP,,F,Nissan,Leaf,2015
2,DMV Direct (8/20/2019),9/7/2018,49305,JTDKN3DP,,C,Toyota,Prius Plug-in,2012
2,DMV Direct (8/20/2019),9/7/2018,49507,1G1RC6E4,,B,Chevrolet,Volt,2011
2,DMV Direct (8/20/2019),4/19/2019,48180,1FADP3R4,,H,Ford,Focus EV,2017
2,DMV Direct (8/20/2019),9/7/2018,48377,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),4/19/2019,49519,JTDKARFP,,K,Toyota,Prius Prime,2019
2,DMV Direct (8/20/2019),9/7/2018,48335,2C4RC1N7,,J,Chrysler,Pacifica,2018
2,DMV Direct (8/20/2019),4/19/2019,48189,KNDCC3LD,,K,Kia,Niro Plug In,2019
2,DMV Direct (8/20/2019),4/19/2019,48103,1G1FX6S0,,H,Chevrolet,Bolt EV,2017
2,DMV Direct (8/20/2019),9/7/2018,49740,5YJSA1E2,,H,Tesla,Model S,2017
