id,geographic area name,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",year,1-unit attached,boat rv van etc.
0500000US49053,"Washington County, Utah",52385,,1344,2323,1845,1334,1709,3863,,2017,4025,31
0500000US49013,"Duchesne County, Utah",6650,,152,349,50,54,45,1776,,2017,180,11
0500000US49037,"San Juan County, Utah",4019,,85,49,109,50,20,1177,,2017,52,33
0500000US49035,"Salt Lake County, Utah",363058,,13217,16013,15529,24119,38149,7199,,2017,24687,269
0500000US49047,"Uintah County, Utah",10616,,474,759,267,430,245,1714,,2017,412,8
0500000US49009,"Daggett County, Utah",168,,11,9,0,0,0,504,,2017,0,0
0500000US49011,"Davis County, Utah",101422,,2214,4004,3104,3180,4506,2902,,2017,5406,64
0500000US49055,"Wayne County, Utah",990,,22,42,33,5,14,114,,2017,1,0
0500000US49007,"Carbon County, Utah",7841,,253,464,248,131,158,1157,,2017,89,9
0500000US49015,"Emery County, Utah",3564,,106,148,18,21,0,762,,2017,57,4
0500000US49029,"Morgan County, Utah",3236,,112,82,0,0,0,13,,2017,180,0
0500000US49005,"Cache County, Utah",36829,,1091,4439,1344,1473,1965,1110,,2017,2886,18
0500000US49017,"Garfield County, Utah",1756,,75,51,17,15,21,475,,2017,18,13
0500000US49023,"Juab County, Utah",3287,,15,152,32,36,3,201,,2017,44,0
0500000US50021,"Rutland County, Vermont",25160,,2283,2114,1276,1180,1186,2000,,2017,518,10
0500000US50019,"Orleans County, Vermont",11498,,773,597,542,180,80,1717,,2017,268,3
0500000US50013,"Grand Isle County, Vermont",2952,,101,95,15,22,25,658,,2017,52,0
0500000US50017,"Orange County, Vermont",12275,,586,510,185,93,165,1700,,2017,120,0
0500000US50007,"Chittenden County, Vermont",64906,,4949,6624,4758,1876,6161,2945,,2017,5904,8
0500000US50015,"Lamoille County, Vermont",10401,,1053,896,532,160,218,1067,,2017,587,23
0500000US50027,"Windsor County, Vermont",24121,,1708,2368,2113,619,775,2537,,2017,736,39
0500000US50011,"Franklin County, Vermont",18649,,1111,805,705,287,499,2148,,2017,485,4
0500000US50005,"Caledonia County, Vermont",12094,,757,915,778,190,282,1713,,2017,165,7
0500000US50025,"Windham County, Vermont",19059,,1459,1675,1982,411,1043,1708,,2017,2167,11
0500000US50003,"Bennington County, Vermont",15280,,1356,1531,759,142,478,1293,,2017,385,0
0500000US50001,"Addison County, Vermont",14701,,872,749,396,153,471,1398,,2017,449,12
