id,geographic area name,total population,year
0500000US13095,"Dougherty County, Georgia",94514,2010
0500000US13097,"Douglas County, Georgia",127800,2010
0500000US13099,"Early County, Georgia",11286,2010
0500000US13101,"Echols County, Georgia",3973,2010
0500000US13103,"Effingham County, Georgia",50513,2010
0500000US13105,"Elbert County, Georgia",20421,2010
0500000US13107,"Emanuel County, Georgia",22348,2010
0500000US13109,"Evans County, Georgia",10966,2010
0500000US13111,"Fannin County, Georgia",23337,2010
0500000US13113,"Fayette County, Georgia",105344,2010
0500000US13115,"Floyd County, Georgia",95810,2010
0500000US13117,"Forsyth County, Georgia",163885,2010
0500000US13119,"Franklin County, Georgia",22121,2010
0500000US13121,"Fulton County, Georgia",886982,2010
0500000US13123,"Gilmer County, Georgia",28076,2010
0500000US13125,"Glascock County, Georgia",3007,2010
0500000US13127,"Glynn County, Georgia",77632,2010
0500000US13129,"Gordon County, Georgia",54059,2010
0500000US13131,"Grady County, Georgia",24738,2010
0500000US13133,"Greene County, Georgia",15844,2010
0500000US13135,"Gwinnett County, Georgia",778022,2010
0500000US13137,"Habersham County, Georgia",42212,2010
0500000US13139,"Hall County, Georgia",175001,2010
0500000US13141,"Hancock County, Georgia",9649,2010
0500000US13143,"Haralson County, Georgia",28574,2010
0500000US13145,"Harris County, Georgia",30807,2010
0500000US13147,"Hart County, Georgia",25024,2010
0500000US13149,"Heard County, Georgia",11720,2010
0500000US13151,"Henry County, Georgia",193717,2010
0500000US13153,"Houston County, Georgia",134880,2010
0500000US13155,"Irwin County, Georgia",9642,2010
0500000US13157,"Jackson County, Georgia",58347,2010
0500000US13159,"Jasper County, Georgia",13695,2010
0500000US13161,"Jeff Davis County, Georgia",14558,2010
0500000US13163,"Jefferson County, Georgia",16919,2010
0500000US13165,"Jenkins County, Georgia",8400,2010
0500000US13167,"Johnson County, Georgia",9967,2010
0500000US13169,"Jones County, Georgia",28292,2010
0500000US13171,"Lamar County, Georgia",17837,2010
0500000US13173,"Lanier County, Georgia",9404,2010
0500000US13175,"Laurens County, Georgia",48034,2010
0500000US13177,"Lee County, Georgia",27998,2010
0500000US13179,"Liberty County, Georgia",63854,2010
0500000US13181,"Lincoln County, Georgia",8111,2010
0500000US13183,"Long County, Georgia",13142,2010
0500000US13185,"Lowndes County, Georgia",104916,2010
0500000US13187,"Lumpkin County, Georgia",28875,2010
0500000US13189,"McDuffie County, Georgia",21719,2010
0500000US13191,"McIntosh County, Georgia",13817,2010
0500000US13193,"Macon County, Georgia",14553,2010
0500000US13195,"Madison County, Georgia",27798,2010
0500000US13197,"Marion County, Georgia",8403,2010
0500000US13199,"Meriwether County, Georgia",22425,2010
0500000US13201,"Miller County, Georgia",6128,2010
0500000US13205,"Mitchell County, Georgia",23697,2010
0500000US13207,"Monroe County, Georgia",25864,2010
0500000US13209,"Montgomery County, Georgia",9138,2010
0500000US13211,"Morgan County, Georgia",17741,2010
0500000US13213,"Murray County, Georgia",39925,2010
0500000US13215,"Muscogee County, Georgia",187629,2010
0500000US13217,"Newton County, Georgia",96833,2010
0500000US13219,"Oconee County, Georgia",31508,2010
0500000US13221,"Oglethorpe County, Georgia",14556,2010
0500000US13223,"Paulding County, Georgia",134875,2010
0500000US13225,"Peach County, Georgia",26883,2010
0500000US13227,"Pickens County, Georgia",29155,2010
0500000US13229,"Pierce County, Georgia",18205,2010
0500000US13231,"Pike County, Georgia",17411,2010
0500000US13233,"Polk County, Georgia",41095,2010
0500000US13235,"Pulaski County, Georgia",11632,2010
0500000US13237,"Putnam County, Georgia",20925,2010
0500000US13239,"Quitman County, Georgia",2528,2010
0500000US13241,"Rabun County, Georgia",16266,2010
0500000US13243,"Randolph County, Georgia",7724,2010
0500000US13245,"Richmond County, Georgia",198170,2010
0500000US13247,"Rockdale County, Georgia",83135,2010
0500000US13249,"Schley County, Georgia",4755,2010
0500000US13251,"Screven County, Georgia",14799,2010
0500000US13253,"Seminole County, Georgia",8797,2010
0500000US13255,"Spalding County, Georgia",63304,2010
0500000US13257,"Stephens County, Georgia",25876,2010
0500000US13259,"Stewart County, Georgia",5831,2010
0500000US13261,"Sumter County, Georgia",32865,2010
0500000US13263,"Talbot County, Georgia",6920,2010
0500000US13267,"Tattnall County, Georgia",24263,2010
0500000US13269,"Taylor County, Georgia",8875,2010
0500000US13271,"Telfair County, Georgia",16052,2010
0500000US13273,"Terrell County, Georgia",9647,2010
0500000US13275,"Thomas County, Georgia",44451,2010
0500000US13277,"Tift County, Georgia",39823,2010
0500000US13279,"Toombs County, Georgia",27151,2010
0500000US13281,"Towns County, Georgia",10430,2010
0500000US13283,"Treutlen County, Georgia",6835,2010
0500000US13285,"Troup County, Georgia",65652,2010
0500000US13287,"Turner County, Georgia",9025,2010
0500000US13289,"Twiggs County, Georgia",9385,2010
0500000US13291,"Union County, Georgia",21083,2010
0500000US13293,"Upson County, Georgia",27308,2010
0500000US13295,"Walker County, Georgia",67845,2010
0500000US13297,"Walton County, Georgia",81491,2010
0500000US13299,"Ware County, Georgia",36006,2010
0500000US13301,"Warren County, Georgia",5936,2010
0500000US13303,"Washington County, Georgia",21112,2010
0500000US13305,"Wayne County, Georgia",29705,2010
0500000US13307,"Webster County, Georgia",2727,2010
0500000US13309,"Wheeler County, Georgia",7093,2010
0500000US13311,"White County, Georgia",26498,2010
0500000US13313,"Whitfield County, Georgia",99910,2010
0500000US13315,"Wilcox County, Georgia",9041,2010
0500000US13317,"Wilkes County, Georgia",10580,2010
0500000US13319,"Wilkinson County, Georgia",9685,2010
0500000US13321,"Worth County, Georgia",21712,2010
0500000US15001,"Hawaii County, Hawaii",180362,2010
0500000US15003,"Honolulu County, Hawaii",936984,2010
0500000US15007,"Kauai County, Hawaii",65460,2010
0500000US16001,"Ada County, Idaho",380718,2010
0500000US16003,"Adams County, Idaho",3942,2010
0500000US16005,"Bannock County, Idaho",80701,2010
0500000US16007,"Bear Lake County, Idaho",6026,2010
0500000US16009,"Benewah County, Idaho",9302,2010
0500000US16011,"Bingham County, Idaho",44496,2010
0500000US16013,"Blaine County, Idaho",21329,2010
0500000US16015,"Boise County, Idaho",7122,2010
0500000US16017,"Bonner County, Idaho",40711,2010
0500000US16019,"Bonneville County, Idaho",100213,2010
0500000US16021,"Boundary County, Idaho",10792,2010
0500000US16023,"Butte County, Idaho",2842,2010
0500000US16027,"Canyon County, Idaho",182723,2010
0500000US16029,"Caribou County, Idaho",6900,2010
0500000US16031,"Cassia County, Idaho",22109,2010
0500000US16035,"Clearwater County, Idaho",8766,2010
0500000US16037,"Custer County, Idaho",4277,2010
0500000US16039,"Elmore County, Idaho",26669,2010
0500000US16041,"Franklin County, Idaho",12497,2010
0500000US16043,"Fremont County, Idaho",13062,2010
0500000US16045,"Gem County, Idaho",16778,2010
0500000US16047,"Gooding County, Idaho",15140,2010
0500000US16049,"Idaho County, Idaho",15947,2010
0500000US16051,"Jefferson County, Idaho",24523,2010
0500000US16053,"Jerome County, Idaho",21282,2010
0500000US16055,"Kootenai County, Idaho",134851,2010
0500000US16057,"Latah County, Idaho",36645,2010
0500000US16059,"Lemhi County, Idaho",7861,2010
0500000US16061,"Lewis County, Idaho",3761,2010
0500000US16063,"Lincoln County, Idaho",5021,2010
0500000US16065,"Madison County, Idaho",36413,2010
0500000US16067,"Minidoka County, Idaho",19524,2010
0500000US16069,"Nez Perce County, Idaho",38886,2010
0500000US16071,"Oneida County, Idaho",4212,2010
0500000US16073,"Owyhee County, Idaho",11389,2010
0500000US16075,"Payette County, Idaho",22451,2010
0500000US16077,"Power County, Idaho",7633,2010
0500000US16079,"Shoshone County, Idaho",12917,2010
0500000US16081,"Teton County, Idaho",9413,2010
0500000US16083,"Twin Falls County, Idaho",74929,2010
0500000US16085,"Valley County, Idaho",9846,2010
0500000US16087,"Washington County, Idaho",10105,2010
0500000US17001,"Adams County, Illinois",67030,2010
0500000US17003,"Alexander County, Illinois",8449,2010
0500000US17005,"Bond County, Illinois",17904,2010
0500000US17007,"Boone County, Illinois",53567,2010
0500000US17009,"Brown County, Illinois",6897,2010
0500000US17011,"Bureau County, Illinois",35083,2010
0500000US17013,"Calhoun County, Illinois",5118,2010
0500000US17015,"Carroll County, Illinois",15615,2010
0500000US17017,"Cass County, Illinois",13648,2010
0500000US17019,"Champaign County, Illinois",197867,2010
0500000US17021,"Christian County, Illinois",34936,2010
0500000US17023,"Clark County, Illinois",16545,2010
0500000US17025,"Clay County, Illinois",13927,2010
0500000US17027,"Clinton County, Illinois",37395,2010
0500000US17029,"Coles County, Illinois",53568,2010
0500000US17031,"Cook County, Illinois",5172848,2010
0500000US17033,"Crawford County, Illinois",19864,2010
0500000US17035,"Cumberland County, Illinois",11073,2010
0500000US17037,"DeKalb County, Illinois",104026,2010
0500000US17039,"De Witt County, Illinois",16672,2010
0500000US17041,"Douglas County, Illinois",20012,2010
0500000US17043,"DuPage County, Illinois",911481,2010
0500000US17045,"Edgar County, Illinois",18776,2010
0500000US17047,"Edwards County, Illinois",6707,2010
0500000US17049,"Effingham County, Illinois",34232,2010
0500000US17051,"Fayette County, Illinois",22007,2010
0500000US17053,"Ford County, Illinois",14113,2010
0500000US17055,"Franklin County, Illinois",39528,2010
0500000US17057,"Fulton County, Illinois",37205,2010
0500000US17059,"Gallatin County, Illinois",5773,2010
0500000US17061,"Greene County, Illinois",13983,2010
0500000US17063,"Grundy County, Illinois",48744,2010
0500000US17065,"Hamilton County, Illinois",8453,2010
0500000US17067,"Hancock County, Illinois",19227,2010
0500000US17069,"Hardin County, Illinois",4402,2010
0500000US17071,"Henderson County, Illinois",7462,2010
0500000US17073,"Henry County, Illinois",50477,2010
0500000US17075,"Iroquois County, Illinois",30068,2010
0500000US17077,"Jackson County, Illinois",59864,2010
0500000US17079,"Jasper County, Illinois",9752,2010
0500000US17081,"Jefferson County, Illinois",39202,2010
0500000US17083,"Jersey County, Illinois",22932,2010
0500000US17085,"Jo Daviess County, Illinois",22728,2010
0500000US17087,"Johnson County, Illinois",12710,2010
0500000US17089,"Kane County, Illinois",502628,2010
0500000US17091,"Kankakee County, Illinois",112100,2010
0500000US17093,"Kendall County, Illinois",105602,2010
0500000US17095,"Knox County, Illinois",52932,2010
0500000US17097,"Lake County, Illinois",697179,2010
0500000US17099,"LaSalle County, Illinois",113789,2010
0500000US17101,"Lawrence County, Illinois",16849,2010
0500000US17103,"Lee County, Illinois",36100,2010
0500000US17105,"Livingston County, Illinois",39010,2010
0500000US17107,"Logan County, Illinois",30440,2010
0500000US17109,"McDonough County, Illinois",32730,2010
0500000US17111,"McHenry County, Illinois",306050,2010
0500000US17113,"McLean County, Illinois",166706,2010
0500000US17115,"Macon County, Illinois",110719,2010
0500000US17117,"Macoupin County, Illinois",47980,2010
0500000US17119,"Madison County, Illinois",268005,2010
0500000US17121,"Marion County, Illinois",39722,2010
0500000US17123,"Marshall County, Illinois",12763,2010
0500000US17125,"Mason County, Illinois",14921,2010
0500000US17127,"Massac County, Illinois",15425,2010
0500000US17129,"Menard County, Illinois",12702,2010
0500000US17131,"Mercer County, Illinois",16551,2010
0500000US17133,"Monroe County, Illinois",32431,2010
0500000US17135,"Montgomery County, Illinois",30230,2010
0500000US17137,"Morgan County, Illinois",35755,2010
0500000US17139,"Moultrie County, Illinois",14723,2010
0500000US17141,"Ogle County, Illinois",53578,2010
0500000US17143,"Peoria County, Illinois",185108,2010
0500000US17145,"Perry County, Illinois",22488,2010
0500000US17147,"Piatt County, Illinois",16708,2010
0500000US17149,"Pike County, Illinois",16580,2010
0500000US17151,"Pope County, Illinois",4426,2010
0500000US17153,"Pulaski County, Illinois",6262,2010
0500000US17155,"Putnam County, Illinois",5982,2010
0500000US17157,"Randolph County, Illinois",33567,2010
0500000US17159,"Richland County, Illinois",16166,2010
0500000US17161,"Rock Island County, Illinois",147524,2010
0500000US17163,"St. Clair County, Illinois",266727,2010
0500000US17165,"Saline County, Illinois",25171,2010
0500000US17167,"Sangamon County, Illinois",195288,2010
0500000US17169,"Schuyler County, Illinois",7527,2010
0500000US17171,"Scott County, Illinois",5374,2010
0500000US17173,"Shelby County, Illinois",22362,2010
0500000US17175,"Stark County, Illinois",6086,2010
0500000US17177,"Stephenson County, Illinois",47791,2010
0500000US17179,"Tazewell County, Illinois",133863,2010
0500000US17181,"Union County, Illinois",17959,2010
0500000US17183,"Vermilion County, Illinois",82033,2010
0500000US17185,"Wabash County, Illinois",12141,2010
0500000US17187,"Warren County, Illinois",17745,2010
0500000US17189,"Washington County, Illinois",14841,2010
0500000US17191,"Wayne County, Illinois",16846,2010
0500000US17193,"White County, Illinois",14800,2010
0500000US17195,"Whiteside County, Illinois",58750,2010
0500000US17197,"Will County, Illinois",667977,2010
0500000US17199,"Williamson County, Illinois",65579,2010
0500000US17201,"Winnebago County, Illinois",293972,2010
0500000US17203,"Woodford County, Illinois",38226,2010
0500000US18001,"Adams County, Indiana",34162,2010
0500000US18003,"Allen County, Indiana",351332,2010
0500000US18005,"Bartholomew County, Indiana",75855,2010
0500000US18007,"Benton County, Indiana",8820,2010
0500000US18009,"Blackford County, Indiana",12960,2010
