id,geographic area name,median income (family),median income (nonfamily),year
0500000US04011,"Greenlee County, Arizona",51729,35143,2010
0500000US04012,"La Paz County, Arizona",37721,20390,2010
0500000US04013,"Maricopa County, Arizona",65438,36861,2010
0500000US04015,"Mohave County, Arizona",47530,25714,2010
0500000US04017,"Navajo County, Arizona",45906,22516,2010
0500000US04019,"Pima County, Arizona",57377,29616,2010
0500000US04021,"Pinal County, Arizona",56299,33645,2010
0500000US04023,"Santa Cruz County, Arizona",40933,23521,2010
0500000US04025,"Yavapai County, Arizona",53499,27644,2010
0500000US04027,"Yuma County, Arizona",42718,26614,2010
0500000US05001,"Arkansas County, Arkansas",48698,23110,2010
0500000US05003,"Ashley County, Arkansas",46453,15444,2010
0500000US05005,"Baxter County, Arkansas",42124,21889,2010
0500000US05007,"Benton County, Arkansas",58000,30392,2010
0500000US05009,"Boone County, Arkansas",46005,20911,2010
0500000US05011,"Bradley County, Arkansas",39125,20082,2010
0500000US05013,"Calhoun County, Arkansas",39615,20220,2010
0500000US05015,"Carroll County, Arkansas",42031,21105,2010
0500000US05017,"Chicot County, Arkansas",32679,13568,2010
0500000US05019,"Clark County, Arkansas",45336,17253,2010
0500000US05021,"Clay County, Arkansas",39758,15073,2010
0500000US05023,"Cleburne County, Arkansas",44863,18404,2010
0500000US05025,"Cleveland County, Arkansas",45882,18932,2010
0500000US05027,"Columbia County, Arkansas",46855,16930,2010
0500000US05029,"Conway County, Arkansas",48116,13986,2010
0500000US05031,"Craighead County, Arkansas",52540,20123,2010
0500000US05033,"Crawford County, Arkansas",46542,21548,2010
0500000US05035,"Crittenden County, Arkansas",42042,20941,2010
0500000US05037,"Cross County, Arkansas",46045,14682,2010
0500000US05039,"Dallas County, Arkansas",37060,15943,2010
0500000US05041,"Desha County, Arkansas",36349,17319,2010
0500000US05043,"Drew County, Arkansas",44680,18346,2010
0500000US05045,"Faulkner County, Arkansas",60595,22360,2010
0500000US05047,"Franklin County, Arkansas",39723,15615,2010
0500000US05049,"Fulton County, Arkansas",36489,16977,2010
0500000US05051,"Garland County, Arkansas",45745,23230,2010
0500000US05053,"Grant County, Arkansas",58741,27018,2010
0500000US05055,"Greene County, Arkansas",45776,18547,2010
0500000US05057,"Hempstead County, Arkansas",41820,18827,2010
0500000US05059,"Hot Spring County, Arkansas",46090,20635,2010
0500000US05061,"Howard County, Arkansas",40538,17146,2010
0500000US05063,"Independence County, Arkansas",43775,21437,2010
0500000US05065,"Izard County, Arkansas",39668,15685,2010
0500000US05067,"Jackson County, Arkansas",36103,15652,2010
0500000US05069,"Jefferson County, Arkansas",46626,19059,2010
0500000US05071,"Johnson County, Arkansas",39226,17107,2010
0500000US05073,"Lafayette County, Arkansas",37072,12669,2010
0500000US05075,"Lawrence County, Arkansas",38957,15217,2010
0500000US05077,"Lee County, Arkansas",34261,13625,2010
0500000US05079,"Lincoln County, Arkansas",39493,14891,2010
0500000US05081,"Little River County, Arkansas",45341,14879,2010
0500000US05083,"Logan County, Arkansas",48696,16819,2010
0500000US05085,"Lonoke County, Arkansas",57736,30192,2010
0500000US05087,"Madison County, Arkansas",42341,23269,2010
