"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year,fips,geographic area name,median income (family),median income (nonfamily),total population,commute time,count,county,state
7.6,17.8,22.7,8.3,18.5,12.8,2011,06083,"Santa Barbara County, California",63587,36106,419793,3509595.0,79,Santa Barbara County,CA
6.2,16.2,17.5,7.3,25.6,19.9,2011,06085,"Santa Clara County, California",107826,45562,1762754,19203810.0,861,Santa Clara County,CA
6.2,15.9,22.1,7.9,23.7,14.4,2011,06087,"Santa Cruz County, California",71394,37818,259402,2977645.0,50,Santa Cruz County,CA
9.4,26.4,30.8,10.7,13.1,6.6,2011,06089,"Shasta County, California",48797,22213,177231,1263405.0,9,Shasta County,CA
7.5,24.0,27.7,10.4,17.0,7.2,2011,06095,"Solano County, California",72136,36820,411620,5163265.0,24,Solano County,CA
6.6,20.7,25.4,8.5,20.6,11.3,2011,06097,"Sonoma County, California",71281,34469,478551,5290400.0,78,Sonoma County,CA
11.1,27.8,24.3,7.0,11.3,5.2,2011,06099,"Stanislaus County, California",51061,24708,512469,5082395.0,17,Stanislaus County,CA
12.0,29.6,30.6,7.5,8.8,3.8,2011,06103,"Tehama County, California",41745,19658,62985,474270.0,2,Tehama County,CA
7.4,28.2,33.0,9.8,14.4,4.8,2011,06105,"Trinity County, California",39643,25492,13711,83630.0,1,Trinity County,CA
11.9,24.2,22.9,7.9,8.7,4.2,2011,06107,"Tulare County, California",39108,22624,436234,3292100.0,13,Tulare County,CA
9.3,29.4,31.6,9.4,11.8,6.1,2011,06109,"Tuolumne County, California",55215,25338,55736,493460.0,3,Tuolumne County,CA
7.6,19.4,23.9,8.2,19.5,11.5,2011,06111,"Ventura County, California",82198,36761,815745,9044425.0,155,Ventura County,CA
7.6,18.6,19.5,7.5,20.6,17.8,2011,06113,"Yolo County, California",69794,29639,198889,1829625.0,33,Yolo County,CA
11.9,26.2,29.6,9.8,9.6,3.2,2011,06115,"Yuba County, California",46489,23408,71817,713850.0,2,Yuba County,CA
10.9,30.5,22.5,7.8,14.6,6.1,2011,08001,"Adams County, Colorado",59602,31092,434295,5628395.0,16,Adams County,CO
6.6,30.5,23.3,8.6,11.7,13.1,2011,08003,"Alamosa County, Colorado",41973,16835,15395,93025.0,1,Alamosa County,CO
5.3,21.4,22.9,8.0,25.3,13.0,2011,08005,"Arapahoe County, Colorado",67977,35209,563508,7258965.0,41,Arapahoe County,CO
3.3,13.0,17.5,5.5,32.5,25.2,2011,08013,"Boulder County, Colorado",92076,34772,293205,3003055.0,85,Boulder County,CO
2.8,17.6,22.6,9.1,29.7,15.9,2011,08014,"Broomfield County, Colorado",105062,34932,54592,685815.0,13,Broomfield County,CO
3.1,24.3,24.9,7.4,25.2,14.7,2011,08019,"Clear Creek County, Colorado",84118,38568,9083,151350.0,1,Clear Creek County,CO
9.4,33.7,21.7,6.0,12.9,7.7,2011,08021,"Conejos County, Colorado",43750,16406,8228,71165.0,2,Conejos County,CO
7.7,36.7,24.2,8.4,12.0,5.7,2011,08029,"Delta County, Colorado",51590,19886,30666,275225.0,2,Delta County,CO
8.0,19.8,18.4,5.2,25.0,16.3,2011,08031,"Denver County, Colorado",49938,35197,590507,7062620.0,3,Denver County,or
1.8,13.7,21.2,8.0,37.3,17.3,2011,08035,"Douglas County, Colorado",115681,52098,280643,3548470.0,18,Douglas County,CO
4.7,18.5,16.7,5.7,34.9,12.1,2011,08037,"Eagle County, Colorado",72325,36989,51457,586280.0,7,Eagle County,CO
2.6,29.5,26.8,10.4,21.1,9.2,2011,08039,"Elbert County, Colorado",87188,47232,22859,431305.0,8,Elbert County,CO
4.8,22.5,25.2,10.0,21.6,13.5,2011,08041,"El Paso County, Colorado",64221,30695,611377,6021980.0,20,El Paso County,CO
9.4,37.1,24.1,6.1,11.0,5.5,2011,08043,"Fremont County, Colorado",42889,20462,47040,329710.0,1,Fremont County,CO
8.1,26.9,25.8,7.8,17.4,7.4,2011,08045,"Garfield County, Colorado",67513,40830,55696,763625.0,4,Garfield County,CO
5.4,25.8,28.8,12.2,15.2,12.2,2011,08047,"Gilpin County, Colorado",79000,32622,5241,92880.0,3,Gilpin County,CO
3.7,30.6,25.1,9.0,22.2,7.4,2011,08049,"Grand County, Colorado",66929,53283,14634,139860.0,1,Grand County,CO
3.9,16.3,22.8,6.6,34.8,12.3,2011,08051,"Gunnison County, Colorado",67419,25986,15274,106335.0,6,Gunnison County,CO
9.0,28.2,25.6,4.4,16.0,9.0,2011,08055,"Huerfano County, Colorado",23116,19425,6829,43345.0,1,Huerfano County,CO
4.8,22.1,23.3,8.1,25.9,13.7,2011,08059,"Jefferson County, Colorado",81069,37304,532243,6715830.0,39,Jefferson County,CO
3.7,19.5,22.7,8.6,26.5,16.6,2011,08069,"Larimer County, Colorado",73228,27462,296107,3110790.0,27,Larimer County,CO
10.6,28.6,25.1,11.7,12.4,5.8,2011,08071,"Las Animas County, Colorado",45236,17188,15549,124720.0,1,Las Animas County,CO
7.2,32.5,26.5,12.0,10.2,6.3,2011,08075,"Logan County, Colorado",47111,22267,22417,178075.0,1,Logan County,CO
6.7,30.5,24.4,8.9,17.5,8.6,2011,08077,"Mesa County, Colorado",61888,24817,144766,1351425.0,16,Mesa County,CO
9.2,34.6,29.0,8.9,9.5,4.6,2011,08081,"Moffat County, Colorado",61402,19775,13586,137640.0,1,Moffat County,CO
8.2,29.4,26.3,7.4,16.4,9.8,2011,08083,"Montezuma County, Colorado",41974,25966,25372,233615.0,2,Montezuma County,CO
7.9,33.4,21.8,6.5,14.9,8.0,2011,08085,"Montrose County, Colorado",49960,25138,40812,362280.0,1,Montrose County,CO
9.2,32.1,22.7,8.8,9.6,5.0,2011,08087,"Morgan County, Colorado",48444,18952,27943,195120.0,1,Morgan County,CO
2.0,21.9,26.0,7.0,28.5,13.6,2011,08091,"Ouray County, Colorado",62188,41806,4371,40560.0,1,Ouray County,CO
2.8,10.7,20.0,8.3,39.6,16.9,2011,08097,"Pitkin County, Colorado",113393,43560,16709,155545.0,48,Pitkin County,CO
9.6,28.9,25.5,9.9,13.9,7.6,2011,08101,"Pueblo County, Colorado",48803,21744,157946,1266420.0,2,Pueblo County,CO
4.3,35.5,25.5,9.2,16.1,6.9,2011,08103,"Rio Blanco County, Colorado",70194,24900,6616,63955.0,2,Rio Blanco County,CO
8.4,33.2,25.2,7.7,12.3,6.9,2011,08105,"Rio Grande County, Colorado",43750,21214,11913,85495.0,2,Rio Grande County,CO
2.0,18.8,23.4,7.3,33.1,14.7,2011,08107,"Routt County, Colorado",75253,41498,23201,218740.0,1,Routt County,CO
11.8,31.3,21.0,5.0,11.1,9.0,2011,08109,"Saguache County, Colorado",30000,19255,6165,50300.0,2,Saguache County,CO
3.1,17.4,24.0,4.0,37.4,13.0,2011,08113,"San Miguel County, Colorado",77564,36154,7383,70785.0,7,San Miguel County,CO
2.2,18.7,19.7,7.1,33.6,15.6,2011,08117,"Summit County, Colorado",81119,40521,27496,265935.0,3,Summit County,CO
4.2,27.0,28.7,8.5,17.0,12.9,2011,08119,"Teller County, Colorado",62114,31758,23035,333860.0,3,Teller County,CO
7.6,32.1,27.3,9.0,13.5,5.1,2011,08121,"Washington County, Colorado",54632,18958,4709,44660.0,1,Washington County,CO
8.0,26.9,23.8,8.9,17.5,8.0,2011,08123,"Weld County, Colorado",61672,26480,248441,2857550.0,12,Weld County,CO
6.1,23.3,15.1,6.0,24.9,19.1,2011,09001,"Fairfield County, Connecticut",108894,38673,911196,11558045.0,1,Fairfield County,ct
7.5,28.3,20.5,8.7,19.3,10.6,2011,12011,"Broward County, Florida",60649,28432,1742012,21220365.0,1,Broward County,NY
4.5,22.3,13.6,6.1,25.7,24.1,2011,25017,"Middlesex County, Massachusetts",107195,42229,1491762,20619550.0,2,Middlesex County,NY
3.9,22.3,15.1,7.9,26.9,21.2,2011,25021,"Norfolk County, Massachusetts",115677,40642,666426,9814370.0,5,Norfolk County,NY
5.0,30.9,25.0,9.8,17.4,9.8,2011,26037,"Clinton County, Michigan",76065,28075,74752,775620.0,1,Clinton County,NY
5.1,29.9,28.2,10.4,15.9,8.7,2011,26045,"Eaton County, Michigan",63345,28864,107948,1083000.0,1,Eaton County,NY
6.4,22.9,24.0,8.2,20.1,15.3,2011,26065,"Ingham County, Michigan",56292,26244,281257,2522295.0,1,Ingham County,NY
9.6,35.6,23.7,9.0,12.5,6.0,2011,26145,"Saginaw County, Michigan",53454,22668,200998,1619190.0,3,Saginaw County,or
4.6,30.6,25.3,11.3,18.4,7.5,2011,27003,"Anoka County, Minnesota",79248,35423,329487,4567650.0,1,Anoka County,mn
3.9,29.2,21.8,11.6,21.4,9.0,2011,27027,"Clay County, Minnesota",67500,22549,58032,529625.0,2,Clay County,mn
4.4,19.2,20.4,7.8,29.6,15.1,2011,27053,"Hennepin County, Minnesota",81017,37373,1146195,12857510.0,2,Hennepin County,NY
5.0,23.4,20.1,7.3,23.7,15.2,2011,27123,"Ramsey County, Minnesota",61880,32805,506608,5335285.0,1,Ramsey County,mn
2.8,23.6,22.2,10.1,27.0,13.0,2011,27163,"Washington County, Minnesota",96218,39385,235802,2915650.0,1,Washington County,mn
4.6,25.5,22.8,7.3,24.4,13.7,2011,30063,"Missoula County, Montana",58414,22457,108431,879085.0,2,Missoula County,mt
5.9,31.1,24.0,7.3,21.2,8.1,2011,30111,"Yellowstone County, Montana",58975,25667,146151,1293075.0,3,Yellowstone County,or
5.9,30.3,19.6,7.6,21.9,12.0,2011,34005,"Burlington County, New Jersey",98612,38517,448095,5974890.0,1,Burlington County,NY
9.3,28.9,16.5,5.3,19.4,12.4,2011,34013,"Essex County, New Jersey",62636,28359,781668,10515420.0,11,Essex County,NY
5.0,27.1,17.6,7.2,24.9,14.7,2011,34025,"Monmouth County, New Jersey",108306,35555,628920,9704505.0,1,Monmouth County,NY
7.3,37.9,20.1,6.7,16.6,7.9,2011,34029,"Ocean County, New Jersey",78175,27211,572991,7042730.0,1,Ocean County,NY
6.9,31.1,16.6,5.7,19.3,12.2,2011,34039,"Union County, New Jersey",81343,31194,532378,6905350.0,11,Union County,NY
6.0,26.4,16.9,10.1,19.9,17.9,2011,36001,"Albany County, New York",73851,31916,303957,2900530.0,61,Albany County,NY
8.6,41.4,16.6,12.4,8.7,8.7,2011,36003,"Allegany County, New York",48750,17909,48991,427345.0,10,Allegany County,NY
15.3,27.9,16.8,6.7,11.3,6.5,2011,36005,"Bronx County, New York",32170,19180,1374593,21299305.0,42,Bronx County,NY
