id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US42031,"Clarion County, Pennsylvania",1919,12237,3552,2070,3211,2027,2015
0500000US42033,"Clearfield County, Pennsylvania",5543,30159,8044,5577,5464,2374,2015
0500000US42035,"Clinton County, Pennsylvania",2275,11433,3838,2327,2834,1406,2015
0500000US42037,"Columbia County, Pennsylvania",3647,19992,6374,3126,5790,3436,2015
0500000US42039,"Crawford County, Pennsylvania",4662,27006,9355,4371,7446,4400,2015
0500000US42041,"Cumberland County, Pennsylvania",9862,58627,26466,13296,33964,20843,2015
0500000US42043,"Dauphin County, Pennsylvania",14396,64966,32197,15678,32810,20268,2015
0500000US42045,"Delaware County, Pennsylvania",19969,119607,63735,27990,79252,56413,2015
0500000US42047,"Elk County, Pennsylvania",1559,11573,2972,2542,2671,1190,2015
0500000US42049,"Erie County, Pennsylvania",12369,74931,30362,15839,31707,17078,2015
0500000US42051,"Fayette County, Pennsylvania",8868,48837,13466,8703,9468,4454,2015
0500000US42053,"Forest County, Pennsylvania",955,3353,875,278,356,176,2015
0500000US42055,"Franklin County, Pennsylvania",10005,46100,16107,8152,12602,7373,2015
0500000US42057,"Fulton County, Pennsylvania",1099,5324,1467,709,836,530,2015
0500000US42059,"Greene County, Pennsylvania",2508,12667,3929,1952,3108,1631,2015
0500000US42061,"Huntingdon County, Pennsylvania",2603,16889,5080,2388,2983,1676,2015
0500000US42063,"Indiana County, Pennsylvania",4001,24731,7906,4477,7597,5125,2015
0500000US42065,"Jefferson County, Pennsylvania",2432,16174,4226,2981,3050,1570,2015
0500000US42067,"Juniata County, Pennsylvania",2011,8839,1934,1104,1386,887,2015
0500000US42069,"Lackawanna County, Pennsylvania",10674,56390,26087,13328,24403,14353,2015
0500000US42071,"Lancaster County, Pennsylvania",30024,133969,51032,23147,57531,31024,2015
0500000US42073,"Lawrence County, Pennsylvania",4958,28547,10056,5516,8356,4132,2015
0500000US42075,"Lebanon County, Pennsylvania",8520,40857,13961,6600,11167,7098,2015
0500000US42077,"Lehigh County, Pennsylvania",19751,80199,40962,21598,41892,27113,2015
0500000US42079,"Luzerne County, Pennsylvania",17616,89729,42781,20801,30284,18252,2015
0500000US42081,"Lycoming County, Pennsylvania",7469,33117,13304,8059,10468,5977,2015
0500000US42083,"McKean County, Pennsylvania",2527,14543,5161,2343,3034,2004,2015
0500000US42085,"Mercer County, Pennsylvania",5976,35636,12323,6279,11164,6083,2015
0500000US42087,"Mifflin County, Pennsylvania",3423,16389,4416,2243,2669,1129,2015
0500000US42089,"Monroe County, Pennsylvania",8193,41334,24181,9645,16766,9220,2015
0500000US42091,"Montgomery County, Pennsylvania",23612,140961,86907,38430,149379,116911,2015
0500000US42093,"Montour County, Pennsylvania",958,5314,1844,935,2122,1720,2015
0500000US42095,"Northampton County, Pennsylvania",14012,73025,38296,18193,35637,20633,2015
0500000US42097,"Northumberland County, Pennsylvania",6826,34305,8912,5206,6414,3572,2015
0500000US42099,"Perry County, Pennsylvania",2643,14678,5611,2855,3387,1721,2015
0500000US42101,"Philadelphia County, Pennsylvania",122155,346344,178236,55072,152759,107468,2015
0500000US42103,"Pike County, Pennsylvania",2545,14503,9432,3282,5965,3645,2015
0500000US42105,"Potter County, Pennsylvania",1068,5946,2080,866,1130,805,2015
0500000US42107,"Schuylkill County, Pennsylvania",9938,50931,15901,10068,10436,5976,2015
0500000US42109,"Snyder County, Pennsylvania",2828,12173,3207,2076,2653,1708,2015
0500000US42111,"Somerset County, Pennsylvania",4885,27940,7809,4588,5613,3070,2015
0500000US42113,"Sullivan County, Pennsylvania",360,2416,795,403,482,311,2015
0500000US42115,"Susquehanna County, Pennsylvania",2612,14354,5143,2622,3324,1932,2015
0500000US42117,"Tioga County, Pennsylvania",2570,13073,4801,2292,3521,2238,2015
0500000US42119,"Union County, Pennsylvania",3197,12553,4676,2107,3745,2492,2015
0500000US42121,"Venango County, Pennsylvania",2879,19256,5853,3307,4144,1965,2015
0500000US42123,"Warren County, Pennsylvania",2085,14066,4876,2659,3482,1909,2015
0500000US42125,"Washington County, Pennsylvania",8934,58238,22198,14260,26772,13900,2015
0500000US42127,"Wayne County, Pennsylvania",2939,17087,7033,2760,4518,3077,2015
0500000US42129,"Westmoreland County, Pennsylvania",13689,102682,44817,27431,45021,24775,2015
0500000US42131,"Wyoming County, Pennsylvania",1332,9495,3272,1625,2403,1179,2015
0500000US42133,"York County, Pennsylvania",24602,124228,49539,24829,45011,23901,2015
0500000US44001,"Bristol County, Rhode Island",1803,7592,5120,2779,8112,7217,2015
0500000US44003,"Kent County, Rhode Island",7735,34349,24272,13269,23352,13731,2015
0500000US44005,"Newport County, Rhode Island",2574,13638,9987,4551,15596,11073,2015
0500000US44007,"Providence County, Rhode Island",39983,121634,78997,32923,68523,44685,2015
0500000US44009,"Washington County, Rhode Island",4107,19775,14653,7538,21922,15606,2015
0500000US45001,"Abbeville County, South Carolina",2468,6383,3353,1471,1463,630,2015
0500000US45003,"Aiken County, South Carolina",10997,34958,23897,8924,17986,10544,2015
0500000US45005,"Allendale County, South Carolina",1162,2704,1081,482,689,175,2015
0500000US45007,"Anderson County, South Carolina",14230,41007,28518,12891,16454,8872,2015
0500000US45009,"Bamberg County, South Carolina",1408,2485,2119,1141,1239,563,2015
0500000US45011,"Barnwell County, South Carolina",1911,5376,2850,1421,1309,399,2015
0500000US45013,"Beaufort County, South Carolina",6303,28061,26114,9806,27770,18827,2015
