id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US22125,"West Feliciana Parish, Louisiana",19.5,34.2,17.5,2.3,11.7,4.1,2011
0500000US22127,"Winn Parish, Louisiana",17.8,42.0,17.0,4.2,9.5,2.7,2011
0500000US23001,"Androscoggin County, Maine",7.4,39.3,20.3,8.8,12.7,5.9,2011
0500000US23003,"Aroostook County, Maine",8.2,39.1,19.8,8.8,11.7,4.7,2011
0500000US23005,"Cumberland County, Maine",4.3,25.9,18.8,9.0,24.8,15.0,2011
0500000US23007,"Franklin County, Maine",7.8,36.8,19.8,8.5,13.6,10.0,2011
0500000US23009,"Hancock County, Maine",5.9,33.1,19.6,7.6,19.7,11.7,2011
0500000US23011,"Kennebec County, Maine",5.6,36.5,20.2,9.7,15.5,8.9,2011
0500000US23013,"Knox County, Maine",6.2,36.4,17.3,8.2,19.2,9.2,2011
0500000US23015,"Lincoln County, Maine",5.1,32.2,19.4,9.5,18.3,12.9,2011
0500000US23017,"Oxford County, Maine",7.3,43.5,18.8,7.6,12.0,6.3,2011
0500000US23019,"Penobscot County, Maine",6.3,35.8,20.7,10.0,15.1,8.3,2011
0500000US23021,"Piscataquis County, Maine",7.5,43.2,18.6,9.2,11.7,5.2,2011
0500000US23023,"Sagadahoc County, Maine",5.4,33.7,19.4,8.0,19.4,11.7,2011
0500000US23025,"Somerset County, Maine",8.9,42.4,20.2,8.7,10.9,4.5,2011
0500000US23027,"Waldo County, Maine",6.8,38.4,19.6,7.5,15.4,9.2,2011
0500000US23029,"Washington County, Maine",9.2,38.7,20.9,7.1,12.5,6.7,2011
0500000US23031,"York County, Maine",5.6,33.0,20.3,9.6,18.7,9.3,2011
0500000US24001,"Allegany County, Maryland",9.6,42.9,19.7,7.9,8.7,7.2,2011
0500000US24003,"Anne Arundel County, Maryland",6.7,25.8,21.3,7.0,21.4,14.8,2011
0500000US24005,"Baltimore County, Maryland",7.1,27.2,20.6,6.2,20.4,14.8,2011
0500000US24009,"Calvert County, Maryland",6.0,33.8,22.2,6.9,17.3,11.9,2011
0500000US24011,"Caroline County, Maryland",12.6,40.0,19.1,6.9,10.7,5.5,2011
0500000US24013,"Carroll County, Maryland",6.9,31.5,19.9,7.4,19.5,12.0,2011
0500000US24015,"Cecil County, Maryland",9.1,37.4,21.8,6.8,13.9,7.1,2011
0500000US24017,"Charles County, Maryland",6.5,30.6,25.7,8.0,16.4,10.0,2011
0500000US24019,"Dorchester County, Maryland",13.0,37.6,20.4,6.1,10.8,7.2,2011
0500000US24021,"Frederick County, Maryland",5.3,26.9,20.3,7.7,22.4,14.2,2011
0500000US24023,"Garrett County, Maryland",9.8,43.1,17.3,6.9,10.0,7.2,2011
0500000US24025,"Harford County, Maryland",6.2,29.4,22.5,8.4,18.9,12.0,2011
0500000US24027,"Howard County, Maryland",2.6,15.1,15.4,5.7,31.0,27.7,2011
0500000US24029,"Kent County, Maryland",9.5,33.1,16.2,6.6,17.3,12.3,2011
0500000US24031,"Montgomery County, Maryland",4.2,14.2,14.9,5.2,26.8,30.0,2011
0500000US24033,"Prince George's County, Maryland",7.2,27.7,22.2,6.2,17.5,12.2,2011
0500000US24035,"Queen Anne's County, Maryland",7.3,31.2,21.6,7.5,18.1,11.8,2011
0500000US24037,"St. Mary's County, Maryland",7.1,32.3,21.8,7.2,17.6,10.9,2011
0500000US24039,"Somerset County, Maryland",12.4,45.4,17.0,4.9,9.5,4.7,2011
0500000US24041,"Talbot County, Maryland",7.9,29.0,20.1,7.0,16.7,16.1,2011
0500000US24043,"Washington County, Maryland",10.8,37.2,20.2,7.8,12.0,7.0,2011
0500000US24045,"Wicomico County, Maryland",9.7,33.2,19.8,6.9,15.0,10.6,2011
0500000US24047,"Worcester County, Maryland",8.4,33.0,20.2,8.3,17.8,9.5,2011
0500000US24510,"Baltimore city, Maryland",14.9,29.5,18.8,4.3,13.8,12.0,2011
0500000US25001,"Barnstable County, Massachusetts",3.5,24.8,20.1,9.5,24.2,16.3,2011
0500000US25003,"Berkshire County, Massachusetts",6.7,33.3,19.3,8.0,17.3,12.8,2011
0500000US25005,"Bristol County, Massachusetts",9.8,30.0,17.0,8.5,16.7,8.4,2011
0500000US25007,"Dukes County, Massachusetts",5.6,22.8,19.6,7.8,24.9,17.6,2011
0500000US25009,"Essex County, Massachusetts",6.2,26.6,17.2,8.2,21.9,14.5,2011
0500000US25011,"Franklin County, Massachusetts",6.7,29.6,19.3,10.0,18.3,14.0,2011
0500000US25013,"Hampden County, Massachusetts",10.0,32.3,18.2,9.1,14.9,8.9,2011
0500000US25015,"Hampshire County, Massachusetts",5.3,25.0,16.4,8.9,21.0,21.0,2011
0500000US25017,"Middlesex County, Massachusetts",4.5,22.3,13.6,6.1,25.7,24.1,2011
0500000US25019,"Nantucket County, Massachusetts",3.2,25.8,18.5,6.8,28.0,14.0,2011
0500000US25021,"Norfolk County, Massachusetts",3.9,22.3,15.1,7.9,26.9,21.2,2011
0500000US25023,"Plymouth County, Massachusetts",5.4,30.5,19.1,9.4,21.3,11.5,2011
0500000US25025,"Suffolk County, Massachusetts",7.9,24.9,14.2,4.8,21.9,17.3,2011
0500000US25027,"Worcester County, Massachusetts",7.0,28.9,17.7,8.9,20.5,12.8,2011
0500000US26001,"Alcona County, Michigan",10.5,40.8,24.6,7.7,8.3,4.6,2011
0500000US26003,"Alger County, Michigan",7.9,43.5,19.3,6.6,12.0,5.1,2011
0500000US26005,"Allegan County, Michigan",6.7,39.0,22.5,7.8,13.5,6.6,2011
0500000US26007,"Alpena County, Michigan",8.1,34.6,25.5,12.5,9.0,6.4,2011
0500000US26009,"Antrim County, Michigan",7.1,36.1,23.9,6.6,13.7,9.8,2011
0500000US26011,"Arenac County, Michigan",13.6,41.0,21.7,7.6,7.1,3.6,2011
0500000US26013,"Baraga County, Michigan",9.7,44.5,20.6,6.3,8.3,3.0,2011
0500000US26015,"Barry County, Michigan",6.8,39.7,24.8,9.3,10.5,6.3,2011
0500000US26017,"Bay County, Michigan",8.4,35.1,24.1,10.6,12.7,5.6,2011
0500000US26019,"Benzie County, Michigan",7.7,33.7,22.5,8.9,14.2,11.0,2011
0500000US26021,"Berrien County, Michigan",8.7,31.2,23.2,8.6,14.4,9.3,2011
0500000US26023,"Branch County, Michigan",9.1,40.5,24.1,7.6,9.1,5.0,2011
0500000US26025,"Calhoun County, Michigan",8.6,35.4,25.3,8.5,12.1,6.6,2011
0500000US26027,"Cass County, Michigan",10.3,37.4,23.8,8.6,11.3,5.4,2011
0500000US26029,"Charlevoix County, Michigan",6.2,33.4,24.0,9.1,15.0,10.2,2011
0500000US26031,"Cheboygan County, Michigan",9.0,40.1,22.8,8.4,10.5,6.7,2011
0500000US26033,"Chippewa County, Michigan",8.7,37.1,27.0,6.7,11.6,6.4,2011
0500000US26035,"Clare County, Michigan",12.0,40.2,25.0,7.0,6.5,4.5,2011
0500000US26037,"Clinton County, Michigan",5.0,30.9,25.0,9.8,17.4,9.8,2011
0500000US26039,"Crawford County, Michigan",12.4,38.6,22.0,8.8,10.0,5.0,2011
0500000US26041,"Delta County, Michigan",6.0,39.2,22.4,11.5,12.7,5.6,2011
0500000US26043,"Dickinson County, Michigan",5.1,41.2,24.3,8.5,12.3,7.0,2011
0500000US26045,"Eaton County, Michigan",5.1,29.9,28.2,10.4,15.9,8.7,2011
0500000US26047,"Emmet County, Michigan",5.3,29.5,23.7,9.8,18.1,11.5,2011
0500000US26049,"Genesee County, Michigan",8.7,33.8,26.7,9.0,12.2,6.7,2011
0500000US26051,"Gladwin County, Michigan",10.2,40.7,25.8,7.4,7.1,4.1,2011
0500000US26053,"Gogebic County, Michigan",5.7,38.5,24.7,10.2,13.6,4.8,2011
0500000US26055,"Grand Traverse County, Michigan",5.6,28.4,25.1,9.6,18.7,11.1,2011
0500000US26057,"Gratiot County, Michigan",9.4,41.2,25.4,7.7,8.6,4.4,2011
0500000US26059,"Hillsdale County, Michigan",9.1,42.2,23.3,7.0,7.9,6.3,2011
0500000US26061,"Houghton County, Michigan",7.2,36.0,18.9,8.4,17.2,9.9,2011
0500000US26063,"Huron County, Michigan",9.4,44.2,18.4,8.4,9.8,4.2,2011
0500000US26065,"Ingham County, Michigan",6.4,22.9,24.0,8.2,20.1,15.3,2011
0500000US26067,"Ionia County, Michigan",9.2,38.6,25.9,8.7,9.6,3.9,2011
0500000US26069,"Iosco County, Michigan",11.0,39.7,24.8,6.9,8.5,5.2,2011
0500000US26071,"Iron County, Michigan",7.4,45.1,18.7,8.7,10.5,5.7,2011
0500000US26073,"Isabella County, Michigan",7.6,33.0,23.6,7.3,14.0,11.7,2011
0500000US26075,"Jackson County, Michigan",8.6,34.8,27.5,8.8,12.4,5.6,2011
0500000US26077,"Kalamazoo County, Michigan",5.5,25.6,24.7,8.4,21.1,12.5,2011
0500000US26079,"Kalkaska County, Michigan",10.8,43.7,25.5,6.4,6.5,3.9,2011
0500000US26081,"Kent County, Michigan",7.3,27.2,22.9,8.2,20.2,10.1,2011
0500000US26083,"Keweenaw County, Michigan",6.7,38.6,21.0,8.8,14.5,8.1,2011
0500000US26085,"Lake County, Michigan",12.3,42.2,24.1,6.2,6.2,3.2,2011
0500000US26087,"Lapeer County, Michigan",7.8,37.7,25.6,9.3,11.4,5.6,2011
0500000US26089,"Leelanau County, Michigan",4.1,23.3,23.3,8.5,23.9,14.7,2011
0500000US26091,"Lenawee County, Michigan",7.9,37.0,24.0,7.9,12.5,7.0,2011
0500000US26093,"Livingston County, Michigan",4.7,27.5,25.7,9.4,21.1,10.3,2011
0500000US26095,"Luce County, Michigan",12.2,41.9,20.6,7.8,10.3,3.4,2011
0500000US26097,"Mackinac County, Michigan",7.6,41.0,21.6,6.2,12.3,7.5,2011
0500000US26099,"Macomb County, Michigan",8.3,31.8,24.9,9.1,14.5,7.5,2011
0500000US26101,"Manistee County, Michigan",9.2,37.6,23.2,8.8,10.7,6.9,2011
0500000US26103,"Marquette County, Michigan",5.5,33.4,22.1,8.1,19.7,8.9,2011
0500000US26105,"Mason County, Michigan",8.3,34.6,25.2,8.8,12.1,7.4,2011
0500000US26107,"Mecosta County, Michigan",8.3,36.7,22.3,8.1,13.7,7.9,2011
0500000US26109,"Menominee County, Michigan",7.7,43.0,23.9,9.1,9.8,3.6,2011
0500000US26111,"Midland County, Michigan",6.2,28.6,21.4,9.5,19.5,12.4,2011
0500000US26113,"Missaukee County, Michigan",9.5,42.9,21.7,8.6,9.2,4.2,2011
0500000US26115,"Monroe County, Michigan",8.7,37.8,24.3,9.1,10.6,6.5,2011
0500000US26117,"Montcalm County, Michigan",10.1,39.6,24.6,8.4,8.1,5.2,2011
0500000US26119,"Montmorency County, Michigan",12.2,44.1,20.8,7.9,6.0,4.4,2011
0500000US26121,"Muskegon County, Michigan",8.6,36.1,24.8,10.0,11.3,5.6,2011
0500000US26123,"Newaygo County, Michigan",10.6,40.9,23.2,8.0,8.3,4.8,2011
0500000US26125,"Oakland County, Michigan",5.4,21.2,21.4,7.5,24.5,17.8,2011
0500000US26127,"Oceana County, Michigan",8.7,36.5,23.0,8.7,8.9,5.9,2011
0500000US26129,"Ogemaw County, Michigan",12.7,42.7,22.1,7.6,6.8,3.7,2011
0500000US26131,"Ontonagon County, Michigan",7.3,39.6,22.9,10.7,11.3,5.5,2011
0500000US26133,"Osceola County, Michigan",9.3,43.1,22.2,8.8,8.4,4.1,2011
0500000US26135,"Oscoda County, Michigan",12.6,42.8,22.5,5.9,6.7,3.1,2011
0500000US26137,"Otsego County, Michigan",7.2,38.0,24.5,7.5,13.8,6.2,2011
0500000US26139,"Ottawa County, Michigan",5.9,30.9,22.3,8.1,19.4,9.8,2011
0500000US26141,"Presque Isle County, Michigan",9.3,39.8,22.3,9.3,9.8,4.5,2011
0500000US26143,"Roscommon County, Michigan",12.6,38.5,22.8,9.2,9.3,4.5,2011
0500000US26145,"Saginaw County, Michigan",9.6,35.6,23.7,9.0,12.5,6.0,2011
0500000US26147,"St. Clair County, Michigan",9.0,36.6,26.5,9.4,9.5,6.0,2011
0500000US26149,"St. Joseph County, Michigan",10.3,39.2,22.5,8.1,9.4,4.7,2011
0500000US26151,"Sanilac County, Michigan",9.5,45.6,21.2,7.8,6.7,4.5,2011
0500000US26153,"Schoolcraft County, Michigan",8.5,46.2,21.6,8.3,7.6,4.5,2011
0500000US26155,"Shiawassee County, Michigan",7.8,39.0,26.0,10.1,9.2,5.3,2011
0500000US26157,"Tuscola County, Michigan",10.2,40.6,23.0,8.9,8.8,4.1,2011
0500000US26159,"Van Buren County, Michigan",9.2,34.8,24.1,7.9,11.1,6.7,2011
0500000US26161,"Washtenaw County, Michigan",4.3,16.2,19.8,6.9,24.5,26.4,2011
0500000US26163,"Wayne County, Michigan",11.5,31.6,24.2,7.1,12.6,8.0,2011
0500000US26165,"Wexford County, Michigan",9.1,39.1,23.5,8.6,10.7,5.8,2011
0500000US27001,"Aitkin County, Minnesota",7.5,40.7,23.3,10.3,10.7,4.4,2011
0500000US27003,"Anoka County, Minnesota",4.6,30.6,25.3,11.3,18.4,7.5,2011
0500000US27005,"Becker County, Minnesota",6.6,33.2,24.0,11.4,15.0,6.4,2011
0500000US27007,"Beltrami County, Minnesota",8.3,26.8,24.1,9.3,18.8,10.3,2011
0500000US27009,"Benton County, Minnesota",5.5,34.8,25.9,10.7,12.9,5.9,2011
0500000US27011,"Big Stone County, Minnesota",5.4,41.7,20.8,10.2,12.4,4.3,2011
0500000US27013,"Blue Earth County, Minnesota",4.2,28.4,24.2,11.0,20.7,8.9,2011
0500000US27015,"Brown County, Minnesota",5.3,39.6,22.4,8.9,13.1,5.3,2011
0500000US27017,"Carlton County, Minnesota",5.8,32.9,25.1,10.8,14.9,7.4,2011
0500000US27019,"Carver County, Minnesota",3.2,21.7,19.9,10.1,30.2,12.7,2011
0500000US27021,"Cass County, Minnesota",6.8,36.0,24.6,9.5,14.1,5.9,2011
0500000US27023,"Chippewa County, Minnesota",7.6,36.2,22.1,11.8,12.9,3.7,2011
0500000US27025,"Chisago County, Minnesota",5.8,35.9,27.1,11.5,13.2,5.1,2011
0500000US27027,"Clay County, Minnesota",3.9,29.2,21.8,11.6,21.4,9.0,2011
0500000US27029,"Clearwater County, Minnesota",8.8,36.8,21.0,11.1,12.3,3.5,2011
0500000US27031,"Cook County, Minnesota",5.1,26.9,23.7,8.3,21.4,13.0,2011
0500000US27033,"Cottonwood County, Minnesota",9.4,36.6,21.9,9.4,11.5,5.5,2011
0500000US27035,"Crow Wing County, Minnesota",6.0,31.7,25.6,12.2,15.8,6.4,2011
0500000US27037,"Dakota County, Minnesota",3.6,23.0,22.7,10.6,26.6,11.8,2011
0500000US27039,"Dodge County, Minnesota",6.2,33.0,23.6,12.1,16.1,6.1,2011
0500000US27041,"Douglas County, Minnesota",4.6,31.1,22.5,15.1,15.6,6.8,2011
0500000US27043,"Faribault County, Minnesota",5.9,39.9,23.6,9.8,12.8,3.8,2011
0500000US27045,"Fillmore County, Minnesota",5.5,37.2,20.3,11.1,13.4,5.2,2011
0500000US27047,"Freeborn County, Minnesota",7.4,38.7,23.3,11.1,10.1,4.1,2011
0500000US27049,"Goodhue County, Minnesota",5.2,33.0,24.1,11.7,16.2,5.9,2011
0500000US27051,"Grant County, Minnesota",7.6,34.0,25.2,12.3,13.4,3.8,2011
0500000US27053,"Hennepin County, Minnesota",4.4,19.2,20.4,7.8,29.6,15.1,2011
0500000US27055,"Houston County, Minnesota",5.9,36.1,18.5,13.3,15.1,7.6,2011
0500000US27057,"Hubbard County, Minnesota",6.1,33.5,24.5,11.2,15.5,6.8,2011
0500000US27059,"Isanti County, Minnesota",6.0,39.5,26.2,9.3,11.3,5.2,2011
0500000US27061,"Itasca County, Minnesota",5.2,33.8,26.3,11.1,14.8,6.4,2011
0500000US27063,"Jackson County, Minnesota",5.1,36.4,25.8,12.5,12.4,3.5,2011
0500000US27065,"Kanabec County, Minnesota",9.0,40.9,23.6,9.2,9.2,4.0,2011
0500000US27067,"Kandiyohi County, Minnesota",6.5,30.8,23.1,12.7,15.5,6.0,2011
0500000US27069,"Kittson County, Minnesota",4.8,35.5,23.1,9.4,17.9,3.5,2011
0500000US27071,"Koochiching County, Minnesota",7.4,38.1,25.6,8.6,14.7,2.4,2011
0500000US27073,"Lac qui Parle County, Minnesota",6.0,38.7,22.2,11.5,13.0,3.2,2011
0500000US27075,"Lake County, Minnesota",5.3,36.7,24.4,11.5,13.5,6.5,2011
0500000US27077,"Lake of the Woods County, Minnesota",8.3,36.1,27.7,9.2,13.6,2.3,2011
0500000US27079,"Le Sueur County, Minnesota",6.2,36.4,23.3,9.4,15.4,5.9,2011
0500000US27081,"Lincoln County, Minnesota",3.8,42.1,20.8,9.5,14.3,3.9,2011
0500000US27083,"Lyon County, Minnesota",4.2,33.4,22.0,8.7,19.0,6.8,2011
0500000US27085,"McLeod County, Minnesota",4.9,36.7,23.0,12.5,13.7,4.6,2011
0500000US27087,"Mahnomen County, Minnesota",8.9,37.5,23.3,9.0,10.0,3.8,2011
0500000US27089,"Marshall County, Minnesota",6.7,37.6,20.9,11.2,13.1,3.4,2011
0500000US27091,"Martin County, Minnesota",6.5,37.1,22.3,10.1,14.2,4.9,2011
0500000US27093,"Meeker County, Minnesota",6.2,39.0,23.6,11.0,12.2,3.9,2011
0500000US27095,"Mille Lacs County, Minnesota",8.1,38.6,25.6,8.8,11.1,3.6,2011
0500000US27097,"Morrison County, Minnesota",7.7,40.5,22.3,9.6,10.2,4.6,2011
0500000US27099,"Mower County, Minnesota",7.6,34.0,24.5,11.3,11.8,4.3,2011
0500000US27101,"Murray County, Minnesota",4.8,39.4,24.7,9.7,12.2,3.5,2011
0500000US27103,"Nicollet County, Minnesota",4.4,26.7,22.8,10.2,22.8,10.4,2011
0500000US27105,"Nobles County, Minnesota",7.5,33.9,20.4,9.5,11.0,4.5,2011
0500000US27107,"Norman County, Minnesota",6.7,38.7,22.5,11.2,12.1,2.8,2011
0500000US27109,"Olmsted County, Minnesota",3.8,22.7,20.3,10.7,24.2,16.2,2011
0500000US27111,"Otter Tail County, Minnesota",6.1,33.3,22.6,11.7,15.0,6.2,2011
0500000US27113,"Pennington County, Minnesota",8.4,34.7,23.8,14.1,10.3,5.1,2011
0500000US27115,"Pine County, Minnesota",9.8,42.4,23.7,7.9,8.9,3.9,2011
0500000US27117,"Pipestone County, Minnesota",7.1,34.3,24.7,9.9,11.3,5.5,2011
0500000US27119,"Polk County, Minnesota",5.9,31.4,22.9,11.9,15.0,6.7,2011
0500000US27121,"Pope County, Minnesota",5.0,37.8,21.2,13.3,13.9,4.6,2011
0500000US27123,"Ramsey County, Minnesota",5.0,23.4,20.1,7.3,23.7,15.2,2011
0500000US27125,"Red Lake County, Minnesota",6.3,39.9,21.9,11.3,11.0,2.9,2011
0500000US27127,"Redwood County, Minnesota",7.4,38.5,24.1,8.1,12.7,3.6,2011
0500000US27129,"Renville County, Minnesota",6.2,39.7,21.8,10.4,13.5,2.4,2011
0500000US27131,"Rice County, Minnesota",6.3,32.9,21.4,8.7,17.4,9.5,2011
0500000US27133,"Rock County, Minnesota",5.1,38.8,22.2,10.9,12.6,4.7,2011
0500000US27135,"Roseau County, Minnesota",6.4,40.8,22.6,8.2,14.1,3.4,2011
0500000US27137,"St. Louis County, Minnesota",5.6,30.2,25.6,11.3,17.3,8.2,2011
0500000US27139,"Scott County, Minnesota",3.7,24.6,22.5,10.7,27.0,9.3,2011
0500000US27141,"Sherburne County, Minnesota",5.7,28.9,27.3,12.1,17.5,6.9,2011
0500000US27143,"Sibley County, Minnesota",6.5,41.0,23.4,8.7,10.9,2.8,2011
0500000US27145,"Stearns County, Minnesota",4.6,31.6,23.9,11.1,16.2,7.6,2011
0500000US27147,"Steele County, Minnesota",4.5,35.2,21.8,10.0,16.8,6.8,2011
0500000US27149,"Stevens County, Minnesota",4.1,33.2,23.0,10.2,15.8,9.2,2011
0500000US27151,"Swift County, Minnesota",7.8,41.2,21.2,10.4,10.0,4.1,2011
0500000US27153,"Todd County, Minnesota",7.3,38.0,25.7,9.6,8.8,3.0,2011
0500000US27155,"Traverse County, Minnesota",4.2,38.9,19.8,14.4,13.2,3.1,2011
0500000US27157,"Wabasha County, Minnesota",5.4,39.3,22.1,11.2,13.0,5.7,2011
0500000US27159,"Wadena County, Minnesota",7.7,38.3,23.8,12.5,8.8,4.9,2011
0500000US27161,"Waseca County, Minnesota",5.7,37.2,26.7,8.5,14.0,5.0,2011
0500000US27163,"Washington County, Minnesota",2.8,23.6,22.2,10.1,27.0,13.0,2011
0500000US27165,"Watonwan County, Minnesota",7.9,37.2,20.0,9.5,10.3,4.6,2011
0500000US27167,"Wilkin County, Minnesota",5.8,30.5,24.8,16.4,12.3,4.9,2011
0500000US27169,"Winona County, Minnesota",6.6,30.9,21.5,11.3,16.2,9.1,2011
0500000US27171,"Wright County, Minnesota",4.3,32.6,23.9,11.4,19.0,6.3,2011
0500000US27173,"Yellow Medicine County, Minnesota",5.7,38.5,22.7,10.3,13.7,4.4,2011
0500000US28001,"Adams County, Mississippi",13.4,34.4,20.7,6.3,11.2,7.0,2011
0500000US28003,"Alcorn County, Mississippi",13.5,36.6,17.2,8.7,10.9,4.4,2011
0500000US28005,"Amite County, Mississippi",12.9,37.3,22.6,5.8,5.3,4.1,2011
0500000US28007,"Attala County, Mississippi",19.6,28.4,19.5,6.3,9.7,6.5,2011
0500000US28009,"Benton County, Mississippi",16.7,36.9,17.8,8.5,6.5,3.0,2011
0500000US28011,"Bolivar County, Mississippi",16.5,26.3,20.6,5.3,11.5,8.0,2011
0500000US28013,"Calhoun County, Mississippi",18.8,34.9,18.2,5.5,7.3,2.6,2011
0500000US28015,"Carroll County, Mississippi",13.0,36.2,23.1,5.5,11.3,2.6,2011
0500000US28017,"Chickasaw County, Mississippi",17.6,36.4,20.1,4.5,6.8,4.1,2011
0500000US28019,"Choctaw County, Mississippi",11.6,37.0,22.1,8.6,7.0,4.3,2011
0500000US28021,"Claiborne County, Mississippi",10.0,35.5,24.7,5.9,9.9,7.6,2011
0500000US28023,"Clarke County, Mississippi",16.4,37.7,21.5,7.1,7.1,2.4,2011
0500000US28025,"Clay County, Mississippi",13.6,33.4,23.2,6.8,10.4,6.1,2011
0500000US28027,"Coahoma County, Mississippi",15.1,28.5,20.2,9.7,12.0,4.5,2011
0500000US28029,"Copiah County, Mississippi",13.4,32.5,23.7,9.2,9.3,5.1,2011
0500000US28031,"Covington County, Mississippi",12.8,34.8,20.8,7.3,11.8,3.9,2011
0500000US28033,"DeSoto County, Mississippi",8.2,31.5,26.7,8.6,14.8,6.5,2011
0500000US28035,"Forrest County, Mississippi",10.8,27.9,22.0,7.5,14.9,11.3,2011
0500000US28037,"Franklin County, Mississippi",17.7,36.1,22.8,7.7,7.3,2.8,2011
0500000US28039,"George County, Mississippi",9.4,46.0,21.9,6.9,6.8,3.8,2011
0500000US28041,"Greene County, Mississippi",18.3,41.1,18.4,6.2,6.2,2.4,2011
0500000US28043,"Grenada County, Mississippi",14.1,30.7,21.6,6.7,12.2,5.1,2011
0500000US28045,"Hancock County, Mississippi",9.9,30.6,23.0,8.1,14.7,8.3,2011
0500000US28047,"Harrison County, Mississippi",10.7,28.0,26.4,8.8,12.9,7.7,2011
0500000US28049,"Hinds County, Mississippi",11.0,25.0,23.6,7.6,17.2,10.5,2011
0500000US28051,"Holmes County, Mississippi",19.1,33.2,19.8,4.8,7.6,4.1,2011
0500000US45073,"Oconee County, South Carolina",11.7,33.3,18.9,8.9,12.5,8.8,2011
0500000US45075,"Orangeburg County, South Carolina",14.0,37.6,16.5,7.0,10.2,7.1,2011
0500000US45077,"Pickens County, South Carolina",11.8,30.7,19.1,8.9,13.6,9.5,2011
0500000US45079,"Richland County, South Carolina",7.8,22.2,22.0,8.5,22.0,14.2,2011
0500000US45081,"Saluda County, South Carolina",10.2,41.3,15.8,6.7,9.8,3.7,2011
0500000US45083,"Spartanburg County, South Carolina",12.1,31.0,19.5,9.5,13.1,7.3,2011
0500000US45085,"Sumter County, South Carolina",12.8,32.0,22.6,9.0,11.3,6.4,2011
0500000US45087,"Union County, South Carolina",14.0,36.4,19.8,7.6,8.5,4.2,2011
0500000US45089,"Williamsburg County, South Carolina",12.3,44.2,16.2,6.2,6.6,4.7,2011
0500000US45091,"York County, South Carolina",9.1,28.3,20.7,8.9,19.3,8.9,2011
0500000US46003,"Aurora County, South Dakota",3.1,43.9,18.7,12.6,9.8,4.1,2011
0500000US46005,"Beadle County, South Dakota",6.2,35.2,21.2,7.9,14.6,4.8,2011
0500000US46007,"Bennett County, South Dakota",12.5,25.7,26.2,13.3,11.3,4.3,2011
0500000US46009,"Bon Homme County, South Dakota",5.2,38.7,18.8,10.3,13.6,3.9,2011
0500000US46011,"Brookings County, South Dakota",4.3,28.1,17.7,8.3,25.5,12.7,2011
0500000US46013,"Brown County, South Dakota",4.1,33.2,22.8,10.3,19.2,5.8,2011
0500000US46015,"Brule County, South Dakota",4.9,41.3,16.6,8.1,16.5,5.3,2011
0500000US46017,"Buffalo County, South Dakota",17.1,40.1,21.4,7.2,4.3,5.1,2011
0500000US46019,"Butte County, South Dakota",9.2,35.5,24.9,9.2,13.6,3.3,2011
0500000US46021,"Campbell County, South Dakota",5.0,37.7,19.5,10.2,14.7,1.3,2011
0500000US46023,"Charles Mix County, South Dakota",6.8,37.7,21.7,9.2,11.0,4.3,2011
0500000US46025,"Clark County, South Dakota",5.7,40.3,19.9,8.6,12.3,5.2,2011
0500000US46027,"Clay County, South Dakota",2.9,28.1,18.1,6.6,22.3,19.5,2011
0500000US46029,"Codington County, South Dakota",5.3,36.2,20.1,9.7,17.8,6.3,2011
0500000US46031,"Corson County, South Dakota",10.7,34.6,24.7,11.8,9.3,3.8,2011
0500000US46033,"Custer County, South Dakota",4.9,27.6,25.4,9.1,21.7,8.7,2011
0500000US46035,"Davison County, South Dakota",6.1,30.9,21.6,13.2,17.5,5.6,2011
0500000US46037,"Day County, South Dakota",6.0,41.6,20.5,9.1,13.0,3.9,2011
0500000US46039,"Deuel County, South Dakota",6.4,39.7,18.3,9.0,13.0,4.5,2011
0500000US46041,"Dewey County, South Dakota",18.5,34.5,23.5,5.2,10.0,4.2,2011
0500000US46043,"Douglas County, South Dakota",4.9,36.8,16.2,9.9,10.2,3.5,2011
0500000US46045,"Edmunds County, South Dakota",3.4,33.8,19.2,8.8,16.1,7.4,2011
0500000US46047,"Fall River County, South Dakota",6.4,33.6,26.2,9.2,15.0,5.9,2011
0500000US46049,"Faulk County, South Dakota",4.9,38.2,17.2,14.7,11.9,3.8,2011
0500000US46051,"Grant County, South Dakota",6.2,41.4,16.5,9.5,14.8,3.6,2011
0500000US46053,"Gregory County, South Dakota",5.7,37.7,25.7,8.0,11.4,3.8,2011
0500000US46055,"Haakon County, South Dakota",3.6,39.6,26.2,10.0,14.6,2.6,2011
0500000US46057,"Hamlin County, South Dakota",5.3,39.7,22.1,8.4,12.5,5.7,2011
0500000US46059,"Hand County, South Dakota",5.0,38.8,22.3,8.1,14.0,3.9,2011
0500000US46061,"Hanson County, South Dakota",3.8,41.7,14.4,10.4,14.9,6.1,2011
0500000US46063,"Harding County, South Dakota",4.9,27.7,23.6,5.5,24.8,6.3,2011
0500000US46065,"Hughes County, South Dakota",3.1,26.2,22.6,9.7,25.0,9.9,2011
0500000US46067,"Hutchinson County, South Dakota",5.1,30.5,16.5,8.4,18.4,7.7,2011
0500000US46069,"Hyde County, South Dakota",9.5,45.4,17.2,6.6,15.1,2.4,2011
0500000US46071,"Jackson County, South Dakota",10.6,29.1,31.3,8.8,14.9,1.9,2011
