"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US18081","Johnson County, Indiana","158167","*****"
"0500000US18085","Kosciusko County, Indiana","79456","*****"
"0500000US18089","Lake County, Indiana","485493","*****"
"0500000US18091","LaPorte County, Indiana","109888","*****"
"0500000US18095","Madison County, Indiana","129569","*****"
"0500000US18097","Marion County, Indiana","964582","*****"
"0500000US18105","Monroe County, Indiana","148431","*****"
"0500000US18109","Morgan County, Indiana","70489","*****"
"0500000US18127","Porter County, Indiana","170389","*****"
"0500000US18141","St. Joseph County, Indiana","271826","*****"
"0500000US18157","Tippecanoe County, Indiana","195732","*****"
"0500000US18163","Vanderburgh County, Indiana","181451","*****"
"0500000US18167","Vigo County, Indiana","107038","*****"
"0500000US18177","Wayne County, Indiana","65884","*****"
"0500000US19013","Black Hawk County, Iowa","131228","*****"
"0500000US19049","Dallas County, Iowa","93453","*****"
"0500000US19061","Dubuque County, Iowa","97311","*****"
"0500000US19103","Johnson County, Iowa","151140","*****"
"0500000US19113","Linn County, Iowa","226706","*****"
"0500000US19153","Polk County, Iowa","490161","*****"
"0500000US19155","Pottawattamie County, Iowa","93206","*****"
"0500000US19163","Scott County, Iowa","172943","*****"
"0500000US19169","Story County, Iowa","97117","*****"
"0500000US19193","Woodbury County, Iowa","103107","*****"
"0500000US20015","Butler County, Kansas","66911","*****"
"0500000US20045","Douglas County, Kansas","122259","*****"
"0500000US20091","Johnson County, Kansas","602401","*****"
"0500000US20103","Leavenworth County, Kansas","81758","*****"
"0500000US20161","Riley County, Kansas","74232","*****"
"0500000US20173","Sedgwick County, Kansas","516042","*****"
"0500000US20177","Shawnee County, Kansas","176875","*****"
"0500000US20209","Wyandotte County, Kansas","165429","*****"
"0500000US21015","Boone County, Kentucky","133581","*****"
"0500000US21029","Bullitt County, Kentucky","81676","*****"
"0500000US21037","Campbell County, Kentucky","93584","*****"
"0500000US21047","Christian County, Kentucky","70461","*****"
"0500000US21059","Daviess County, Kentucky","101511","*****"
"0500000US21067","Fayette County, Kentucky","323152","*****"
"0500000US21093","Hardin County, Kentucky","110958","*****"
"0500000US21111","Jefferson County, Kentucky","766757","*****"
"0500000US21117","Kenton County, Kentucky","166998","*****"
"0500000US21145","McCracken County, Kentucky","65418","*****"
"0500000US21151","Madison County, Kentucky","92987","*****"
"0500000US21185","Oldham County, Kentucky","66799","*****"
"0500000US21227","Warren County, Kentucky","132896","*****"
"0500000US22005","Ascension Parish, Louisiana","126604","*****"
"0500000US22015","Bossier Parish, Louisiana","127039","*****"
"0500000US22017","Caddo Parish, Louisiana","240204","*****"
"0500000US22019","Calcasieu Parish, Louisiana","203436","*****"
"0500000US22033","East Baton Rouge Parish, Louisiana","440059","*****"
"0500000US22045","Iberia Parish, Louisiana","69830","*****"
"0500000US22051","Jefferson Parish, Louisiana","432493","*****"
"0500000US22055","Lafayette Parish, Louisiana","244390","*****"
